"article_id","source_url","pdf_path","html_path","status","error"
"PMC11252349","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11252349.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11252349.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11252349/pdf/41598_2024_Article_67079.pdf"
"PMC11425778","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11425778.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11425778.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11425778/pdf/nihms-2020672.pdf"
"PMC11320025","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11320025.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11320025.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11320025/pdf/crc-24-0113.pdf"
"PMC11066909","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11066909.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11066909.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11066909/pdf/noad265.pdf"
"PMC11352417","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11352417.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11352417.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11352417/pdf/biomolecules-14-00969.pdf"
"PMC10855131","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC10855131.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC10855131.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC10855131/pdf/ijms-25-01552.pdf"
"PMC11129317","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11129317.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11129317.html","failed","No citation_pdf_url meta tag found."
"PMC11423856","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11423856.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11423856.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11423856/pdf/qzae033.pdf"
"PMC11015306","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11015306/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11015306.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11015306.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11015306/pdf/jitc-2023-007588.pdf"
"PMC11062922","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11062922.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11062922.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11062922/pdf/41589_2023_Article_1459.pdf"
"PMC11208500","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11208500.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11208500.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11208500/pdf/41467_2024_Article_48711.pdf"
"PMC10972747","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC10972747.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC10972747.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC10972747/pdf/41586_2024_Article_7177.pdf"
"PMC10982990","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC10982990.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC10982990.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC10982990/pdf/nihms-1974299.pdf"
"PMC8628860","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC8628860.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC8628860.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC8628860/pdf/nihms-1754019.pdf"
"PMC5313262","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5313262","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC5313262.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC5313262.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC5313262/pdf/nihms845798.pdf"
"PMC4836692","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC4836692.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC4836692.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC4836692/pdf/pgen.1005895.pdf"
"PMC6141466","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6141466","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC6141466.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC6141466.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC6141466/pdf/41467_2018_Article_6162.pdf"
"PMC4915822","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4915822","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC4915822.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC4915822.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC4915822/pdf/nihms793416.pdf"
"PMC11061608","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC11061608.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC11061608.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC11061608/pdf/1846.pdf"
"PMC5460863","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460863","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC5460863.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC5460863.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC5460863/pdf/pone.0179170.pdf"
"PMC9506422","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\pdf\PMC9506422.pdf","C:\Users\linxi\OneDrive\Desktop\NYU\26spring\DS-GA 3001 Data Engineering\DocETL-Pipeline-for-Data-Discovery-in-Scientific-Publications\data\input\html\PMC9506422.html","failed","PDF download still did not return a valid PDF for https://pmc.ncbi.nlm.nih.gov/articles/PMC9506422/pdf/CTM2-12-e1060.pdf"
